kana	english	common	part
エレベーター	elevator	エレベーター	n.
あさい	shallow	浅い	i-adj.
カバー	cover	カバー	n.
こうたい(する)	change, shift	交代(する)	n.
しげん	resource	資源	n.
げんじつてき	realistic	現実的	na-adj.
くしょう	wry smile	苦笑	v.
ぎょうざ	Chinese dumpling	餃子	n.
しょくどう	cafeteria, dining room	食堂	n.
もっぱら	entirely	もっぱら	adv.
ていけつ(する)	conclusion	締結(する)	n.
はだか	naked, nude	裸	n.
そうこう	in the meantime	そうこう	adv.
いらいら(する)	be annoyed, be irritated, be impatient	イライラ(する)	v.
しゅうしゅう(する)	collection	収集(する)	n.
きしゃ	journalist, reporter	記者	n.
だっしゅつ(する)	escape	脱出(する)	n.
よびだす	call, summon	呼び出す	v.
しゅりゅう	mainstream	主流	n.
さほど	(not) particularly	さほど	adv.
じむ	office work	事務	n.
つけくわえる	add	付け加える	v.
くにぐに	countries	国々	n.
ちきゅううえ	on the earth	地球上	n.
だいきぎょう	big business	大企業	n.
たおす	knock down	倒す	v.
うつる	photograph	写る	v.
もらす	betray	漏らす	v.
じょうたつ(する)	improvement	上達(する)	n.
こきょう	hometown	故郷	n.
こうし	exercise	行使	n.
ひょうめい(する)	expression, manifestation	表明(する)	n.
たいいく	physical education, gymnastics	体育	n.
どくしょ	reading	読書	n.
と	capital	都	n.
ずれる	be out of step, slip	ずれる	v.
つうよう(する)	currency	通用(する)	n.
ししょう	obstacle	支障	n.
カウンター	counter	カウンター	n.
だいきぼ	large-scale	大規模	na-adj.
おおやさん	landlord, owner	大家さん	n.
さくや	last night	昨夜	n.
かく		角	
にこにこ(する)	smile	ニコニコ(する)	v.
さんにちかん	three days	三日間	n.
なでる	stroke	撫でる	v.
きんり	interest	金利	n.
わくわく(する)	be bubbling; be excited	わくわく(する)	v.
かてい(する)	assumption, supposition	仮定(する)	n.
ひきずる	drag, trail	引きずる	v.
バラバラ	separate	バラバラ	na-adj.
いぞん(する)	dependence, reliance	依存(する)	n.
よう	Mr., Mrs., Miss., Ms.	様	n.
どうきょ(する)	coexistence, living together	同居(する)	n.
スカート	skirt	スカート	n.
え	pattern, character	柄	n.
かいすう	frequency	回数	n.
ユーザー	user	ユーザー	n.
ひっしゃ	writer, author	筆者	n.
ふで	brush	筆	n.
せいやく(する)	restriction, constraint	制約(する)	n.
えほん	picture book	絵本	n.
まちなか	downtown	町中	n.
ちょしゃ	author, writer	著者	n.
め	bud, shoot	芽	n.
たんとうもの	person in charge	担当者	n.
あらし		嵐	
こうせいしょう	Ministry of Welfare	厚生省	n.
まめ	bean, pea	豆	n.
そん	loss, damage	損	n.
かんじん	main, essential, important	肝心	na-adj.
ほいくえん	nursery school, day care	保育園	n.
ポスト	post, postbox, mailbox	ポスト	n.
よびかける	call out, appeal	呼びかける	v.
よだん	digression	余談	n.
こる	be absorbed, be devoted; become stiff	凝る	v.
すいどう	water supply	水道	n.
にんぎょう	doll	人形	n.
ねらい		狙い	
けつだん(する)	decision	決断(する)	n.
たいせつさ	importance	大切さ	n.
よそ	other, elsewhere	よそ	n.
か	mosquito	蚊	n.
かんし(する)	observation	監視(する)	n.
どうねん	same year	同年	n.
あっさり	easily, flatly, simple, plain	あっさり	adv.
ほほえむ	smile	微笑む	v.
かけつける	run, rush	駆け付ける	v.
ゴール	goal	ゴール	n.
さんほん	three (long/cylindrical objects)	三本	n.
たな		棚	
しっぽ	tail	しっぽ	n.
ぎゃくたい(する)	abuse	虐待(する)	n.
しかり	(Classical) to be so	然り	v.
せいじょう	normal	正常	na-adj.
はいふ(する)	distribution	配布(する)	n.
もちあげる	lift, raise	持ち上げる	v.
みおくる	see off	見送る	v.
ひきつぐ	take over	引き継ぐ	v.
いわかん	uncomfortable feeling	違和感	n.
ジャズ	jazz	ジャズ	n.
ついで	next, after that	次いで	adv.
むき		向き	
ごねんかん	five years	五年間	n.
あんぜんせい	safety, security	安全性	n.
こっきょう	border  国境を越えた。 — I crossed the border.	国境	n.
ほうちょう	kitchen knife	包丁	n.
キー	key	キー	n.
どきどき(する)	throb, beat fast	どきどき(する)	v.
にぎわう	be crowded with	賑わう	v.
じごく	hell	地獄	n.
ごうか	luxurious, gorgeous	豪華	na-adj.
きゅうきゅうくるま	ambulance	救急車	n.
じゅうねんかん	ten years	十年間	n.
ふどうさん	real estate, property 最近不動産の価値が高くなった。 — The value of real estate has increased recently.	不動産	n.
ひろまる	spread, get around	広まる	v.
がいしゅつ(する)	going out, outing	外出(する)	n.
グラス	glass	グラス	n.
まげる	bend, twist	曲げる	v.
やしき	mansion, residence, estate	屋敷	n.
せんもんてき	technical, academic	専門的	na-adj.
きりかえる	switch, change	切り替える	v.
そめる	dye, color	染める	v.
すきーば	ski ground, ski resort	スキー場	n.
ヒント	hint, clue  彼にヒントを与えた。 — I gave him a hint.	ヒント	n.
こうぎ	lecture	講義	n.
うらぎる	betray	裏切る	v.
よち		余地	
とむ	be rich (in); grow	富む	v.
てがき	handwriting	手書き	n.
ブーム	boom	ブーム	n.
ワールドカップ	World Cup	ワールドカップ	n.
おに	ogre, devil, demon	鬼	n.
ホール	hall	ホール	n.
にあう	suit	似合う	v.
せつやく(する)	saving, economy	節約(する)	n.
じっせき	achievement	実績	n.
やくす	translate	訳す	v.
やつら	guys, fellows	奴ら	n.
キッチン	kitchen	キッチン	n.
かする	assign, charge, impose	課する	v.
やしなう	bring up, keep, support	養う	v.
べつ々	separate, individual  別々に払います。 — We will pay separately.	別々	na-adj.
てあし	limb  彼は手足が大きい。 — He has large limbs.	手足	n.
ぶっか	prices	物価	n.
ぶひん	parts, components	部品	n.
さいてき	best, optimum	最適	na-adj.
しゅくだい	homework	宿題	n.
しめい	name	氏名	n.
ダンス	dancing	ダンス	n.
とかす	dissolve; melt	溶かす	v.
じんしゅ	race	人種	n.
かしゅ		歌手	
ぎん	silver	銀	n.
ルート	route	ルート	n.
だいいちごう	first	第一号	n.
いとこ	cousin	従兄弟	n.
おおむね	mostly, mainly, generally  私の勘は概ね当たっている。 — My hunch proved mainly right.	概ね	adv.
おうふく	round trip  往復切符をください。 — A return ticket, please.	往復	n.
きげん	origin	起源	n.
ひろば	square, plaza	広場	n.
レモン	lemon	レモン	n.
えんかつ	smooth	円滑	na-adj.
こうだい	vast, huge, extensive	広大	na-adj.
TV	television	TV	n.
カップル	couple	カップル	n.
なっとう	fermented soybeans	納豆	n.
どうどう	nobly, openly	堂々	adv.
かんぞう	liver	肝臓	n.
あじわえる	can taste, can enjoy	味わえる	v.
でんげん	power supply	電源	n.
ぶんかつ(する)	division	分割(する)	n.
しゅくしょう(する)	reduction	縮小(する)	n.
ねる	knead; polish; elaborate	練る	v.
のみこむ	swallow	飲み込む	v.
しょくにん	craftsman, workman	職人	n.
じゅうさんとし	thirteen years	十三年	n.
キャラクター	character	キャラクター	n.
だいち	earth, ground	大地	n.
ぐ	ingredient	具	n.
とまどう	confuse, puzzle	戸惑う	v.
さびしさ	loneliness	寂しさ	n.
はく	tell (a lie); sigh	吐く	v.
カーテン	curtain	カーテン	n.
なさけない	miserable	情けない	i-adj.
めし	rice	飯	n.
ようじ	infant	幼児	n.
ほうあん	bill	法案	n.
やまい	illness, disease	病	n.
きっぷ	ticket	切符	n.
しょうめつ(する)	disappearance	消滅(する)	n.
しょうがいもの	disabled person, handicapped person	障害者	n.
だい	stand, rack	台	n.
おもしろさ	interest, fun	面白さ	n.
うまれ	birth; birthplace  彼は東京生まれだ。 — He was born in Tokyo.	生まれ	n.
ほゆう(する)	possession	保有(する)	n.
はんぱつ(する)	repulsion, resistance	反発(する)	n.
あれんじ(する)	arrangement	アレンジ(する)	n.
しつけ	tacking (sewing); discipline	しつけ	n.
しどうもの	leader, coach	指導者	n.
げんり	principle	原理	n.
とうなんあじあ	Southeast Asia	東南アジア	n.
ID	identification, ID	ID	n.
きんぞく	metal	金属	n.
しわ	wrinkle, line	しわ	n.
おもいうかべる	recall, remember	思い浮かべる	v.
いちぶん	one minute	一分	n.
とうめん	present, current; for the time being	当面	n.
ちょきん	savings, deposit	貯金	n.
ぎじゅつてき	technical,  practical	技術的	na-adj.
よんとし	four years old	四歳	n.
ダンボール	cardboard	ダンボール	n.
なまくりーむ	fresh cream	生クリーム	n.
なのる	give one’s name	名乗る	v.
きんようび	Friday	金曜日	n.
いきのこる	survive	生き残る	v.
えんぎ	performance	演技	n.
とりまく	surround, enclose	取り巻く	v.
たいしつ	constitution (physical)	体質	n.
どいつかたり	German (language)	ドイツ語	n.
しかたがない	cannot be helped, no use	仕方が無い	cp.
さんかもの	participant	参加者	n.
だいさんしゃ	outsider, third party	第三者	n.
かんせい	sensitivity, sensibility	感性	n.
たに	valley; ravine, gorge	谷	n.
ほんしゃ	head office	本社	n.
つど	every time	都度	n.
ぼんやり(する)	vacantly, vaguely, dimly	ぼんやり(する)	adv.
ししゃ	dead	死者	n.
しき	four seasons	四季	n.
とうさん(する)	bankruptcy	倒産(する)	n.
ニュージーランド	New	ニュージーランド	n.
センター	center	センター	n.
ほぜん(する)	preservation, maintenance	保全(する)	n.
けつごう(する)	combination	結合(する)	n.
はっそう(する)	,	発送(する)	n.
パンツ		パンツ	
ぐるぐる	round and round	ぐるぐる	adv.
ナンバー		ナンバー	n.
もちぬし	owner	持ち主	n.
とうてい	(cannot) possibly, no matter how	到底	adv.
ゆうひ	evening sun, sunset	夕日	n.
のりかえる	change, transfer	乗り換える	v.
リストラ	restructuring,  downsizing	リストラ	n.
とうべん	answer, defense	答弁	n.
てつがく	philosophy	哲学	n.
おかしな	funny, ridiculous	おかしな	adn.
とうじしゃ	parties concerned	当事者	n.
シーズン	season	シーズン	n.
しな	goods, article	品	n.
こうそくどうろ	freeway	高速道路	n.
いちいん	member	一員	n.
かくてい(する)	determination, decision	確定(する)	n.
いいんかい	committee	委員会	n.
まぜあわせる	mix	混ぜ合わせる	v.
きょうみぶかい	interesting	興味深い	i-adj.
あれこれ	this and that	あれこれ	adv.
ぶんぷ(する)	distribution	分布(する)	n.
かんきゃく		観客	
あゆ	sweetfish, ayu	鮎	n.
しょうご	noon, midday	正午	n.
しゅと	capital city	首都	n.
たいない	inside the body	体内	n.
ちょうわ(する)	harmony, balance	調和(する)	n.
けんい	authority	権威	n.
シンガポール	Singapore	シンガポール	n.
よう	get drunk, feel sick	酔う	v.
さいていげん	minimum	最低限	n.
きずつく	be injured, be hurt	傷つく	v.
カボチャ	pumpkin	カボチャ	n.
ろうご	old age	老後	n.
あてはまる	apply	当てはまる	v.
がい	harm, damage	害	n.
けいこ(する)	practice, exercise	稽古(する)	n.
いちくらい	first prize	一位	n.
ひきいる	head, lead, command	率いる	v.
ぜんしゃ	former	前者	n.
かずひと	several people	数人	n.
そうぞう(する)	creation	創造(する)	n.
とどけで	report, notification	届け出	n.
おぎくぼ	Ogikubo (place name)	荻窪	n.
スイッチ	switch	スイッチ	n.
こころみ		試み	
あゆむ	walk, go through	歩む	v.
たちどまる	stop, pause	立ち止まる	v.
いまいち	not quite, not really	いまいち	adv.
めん	noodles	麺	n.
ふあんてい	unstable, uneasy	不安定	na-adj.
げんてん	starting point, origin	原点	n.
いっこう	(not) at all; completely	一向	adv.
それゆえ	therefore, thus	それゆえ	adv.
ジュース	juice	ジュース	n.
けいげん(する)	reduction	軽減(する)	n.
ふじゆう	inconvenience; disability 水が不足すると不自由します。 — A water shortage causes inconvenience.	不自由	n.
ひめい	scream	悲鳴	n.
らくさつもの	successful bidder	落札者	n.
ゆうし(する)	loan	融資(する)	n.
はたん(する)	bankruptcy, collapse	破綻(する)	n.
にせんはちとし	2008 (year)	二千八年	n.
アドレス	address	アドレス	n.
はげむ	work hard, make efforts	励む	v.
そうほう	both sides, both parties	双方	n.
げんばく	atomic bomb	原爆	n.
かさ	umbrella	傘	n.
チャレンジ	challenge	チャレンジ	n.
すみ	charcoal	炭	n.
ふい	sudden, unexpected	不意	na-adj.
りさいくる(する)	recycling	リサイクル(する)	n.
ミルク	milk	ミルク	n.
しそん	descendant; posterity	子孫	n.
ちかごろ	recently, lately	近頃	n.
かばん	bag	鞄	n.
ごせんえん	five thousand yen	五千円	n.
あつりょく	pressure, stress	圧力	n.
ななめ	diagonal  斜めに線をひいた。 — I drew a diagonal line.	斜め	n.
ほじょ(する)	help, aid, assistance	補助(する)	n.
かいりょう	improvement	改良	n.
はいゆう	actor  彼は俳優の卵だ。 — He is a budding actor.	俳優	n.
フィリピン	Philippines	フィリピン	n.
こうりつてき	efficient	効率的	na-adj.
じょうねつ	passion	情熱	n.
ななひと	seven people	七人	n.
しょうてん	focus	焦点	n.
りょかん	inn, Japanese-style hotel	旅館	n.
しょくたく	dining table	食卓	n.
あるきまわる	walk about	歩き回る	v.
ひげき	tragedy	悲劇	n.
ちょうじょ	eldest daughter	長女	n.
ぎかい	Diet, Parliament, Congress	議会	n.
しんにゅう(する)	invasion	侵入(する)	n.
もる	serve, heap	盛る	v.
てんずる	switch, shift	転ずる	v.
まつる	enshrine; worship; deify	祭る	v.
えみ	smile	笑み	n.
さんど	three times	三度	n.
ひえる	chill, become cold, feel cold	冷える	v.
あん	plan, proposal, idea	案	n.
しんり	psychology	心理	n.
ぬう	sew	縫う	v.
おしゃべり(する)	chat, talk	おしゃべり(する)	n.
つぐ	next to, after	次ぐ	v.
ふっき(する)	return, comeback	復帰(する)	n.
しょうとつ(する)	collision	衝突(する)	n.
もちだす	carry out, take out	持ち出す	v.
つかる	be flooded; soak	浸かる	v.
どらいぶ(する)	,	ドライブ(する)	n.
テキスト	textbook	テキスト	n.
へんどう(する)	change, fluctuation, movement	変動(する)	n.
すいこむ	breathe in; suck up	吸い込む	v.
きぎ	trees	木々	n.
ヒット	hit  彼はヒットを放った。 — He got a hit.	ヒット	n.
はし	chopsticks	箸	n.
しょくよく	appetite	食欲	n.
かたり	word; language	語	n.
つうしん	correspondence, communication	通信	n.
いっか	family, house, household	一家	n.
どなる	shout	怒鳴る	v.
にじゅういちとし	twenty-one years  この家は築二十一年です。 — This house is twenty-one years old.	二十一年	n.
せんぎょうしゅふ	housewife, homemaker	専業主婦	n.
たき	waterfall	滝	n.
ひねる	twist	ひねる	v.
みぶん	position, status	身分	n.
しきち	site, ground	敷地	n.
さめる	cool, get cold	冷める	v.
ブルー	blue	ブルー	n.
せんしんくに	developed country	先進国	n.
バナナ	banana	バナナ	n.
とりあつかい	treatment, handling	取り扱い	n.
フィルム	film	フィルム	n.
にっぽんさけ	sake, Japanese rice wine	日本酒	n.
WWW	World Wide Web	WWW	n.
とうめい	transparent, clear	透明	na-adj.
そく	at once, immediately	即	adv.
こくふく(する)	conquest	克服(する)	n.
せんもんがっこう	technical school, college, vocational school	専門学校	n.
ろくじゅうとし	sixty years old	六十歳	n.
あさひ	rising sun, morning sun	朝日	n.
スタジオ	studio	スタジオ	n.
ちょうき	long term	長期	n.
びじん	beautiful woman, beauty	美人	n.
ひっきようぐ	stationery, writing materials	筆記用具	n.
せきゆ	oil	石油	n.
そうちょう	early morning	早朝	n.
てんない	inside a shop	店内	n.
ちんぎん	salary, wage	賃金	n.
みまわす	look around,  look about	見回す	v.
にってい	schedule, itinerary	日程	n.
おうよう(する)	application	応用(する)	n.
まっくら	black	真っ暗	na-adj.
まゆ	eyebrow 彼は眉をしかめて考えた。 — He knitted his brows in thought.	眉	n.
レンズ	lens	レンズ	n.
ごかい	five times	五回	n.
ぞく	,	俗	n.
パスタ	pasta	パスタ	n.
さしこむ	insert, plug in; come in, shine in	差し込む	v.
せいのう	performance, capability	性能	n.
かいが	painting, picture	絵画	n.
かたな	sword	刀	n.
りねん	philosophy	理念	n.
さいばんかん	judge	裁判官	n.
せんりゃく	strategy	戦略	n.
かく	nucleus, core	核	n.
のうみん	farmer	農民	n.
コンクリート	concrete	コンクリート	n.
かんきょうもんだい	environmental problem	環境問題	n.
ライター	lighter	ライター	n.
ていれ	repair, maintenance	手入れ	n.
はんてい(する)	decision, judgment	判定(する)	n.
おびる	have a trace of, be tinged with	帯びる	v.
にちよう	Sunday	日曜	n.
さっこん	nowadays	昨今	n.
たいわ(する)	dialogue, conversation	対話(する)	n.
おび	kimono sash, belt	帯	n.
おこのみやき	okonomiyaki (Japanese-style savoury pancake with vegetables, meat, seafood etc.)	お好み焼き	n.
ひつじ	sheep	羊	n.
ぜんはん	first half	前半	n.
ショー	show	ショー	n.
けんきゅうじょ	research institute, laboratory	研究所	n.
しょうが	ginger	生姜	n.
ぼうとう	beginning	冒頭	n.
メジャー	major; measure	メジャー	n.
こうえん	performance	公演	n.
けんどう	kendo	剣道	n.
そうこ	warehouse, storehouse	倉庫	n.
ゆかた	yukata, cotton kimono	浴衣	n.
ちょっけい	diameter	直径	n.
ざんぎょう	overtime work	残業	n.
さつじん	murder	殺人	n.
はんめい(する)	proving	判明(する)	n.
とうごう(する)	integration	統合(する)	n.
みずけ	moisture  豆腐の水気を切った。 — I drained the tofu.	水気	n.
われら	we	我ら	pron.
げんりょう	raw material, ingredient	原料	n.
むれ	group; herd	群れ	n.
しんぷ	bride	新婦	n.
もちもの	personal belongings	持ち物	n.
ころがる	roll	転がる	v.
おはよう	good morning	おはよう	interj.
にひき	two (animals)  彼は犬を二匹飼っている。 — He has two dogs.	二匹	n.
てんこう	weather	天候	n.
きけんせい	danger	危険性	n.
そうせつ(する)	foundation, creation	創設(する)	n.
ねんまつ	end of the year	年末	n.
かん	feeling, emotion	感	n.
イコール	equal	イコール	n.
じっしつてき	substantial; essential	実質的	na-adj.
ひびき	sound; echo	響き	n.
ろくかげつ	six months	六ヶ月	n.
プラン	plan	プラン	n.
グラウンド	ground, playground, sports field	グラウンド	n.
メキシコ	Mexico	メキシコ	n.
バー	bar	バー	n.
カップ	cup	カップ	n.
そしょう	suit, action	訴訟	n.
りゅうつう(する)	circulation, distribution	流通(する)	n.
ゆうそう	mail, post	郵送	n.
たいら	flat	平ら	na-adj.
あかじ	deficit, loss, (in) the red	赤字	n.
にくらい	second place	二位	n.
はもの	cutlery, edged tool, knife	刃物	n.
くじょう	complaint	苦情	n.
にゅうしゃ(する)	entry to a company	入社(する)	n.
やくしょ	government office	役所	n.
さんひゃくえん	three hundred yen	三百円	n.
チラシ	flyer, leaflet, handout	チラシ	n.
せいじん(する)	adult	成人(する)	n.
こうぐ	tool	工具	n.
せんしゅう	last week	先週	n.
さかい	boundary, border	境	n.
こくご	Japanese language	国語	n.
さんじゅうひと	thirty people	三十人	n.
へいし	soldier	兵士	n.
げいのうじん	entertainer	芸能人	n.
こんにちは	Hello, Good afternoon	こんにちは	interj.
ふっと	suddenly	ふっと	adv.
ひづけ	date, day	日付	n.
そうい	difference, disagreement	相違	n.
けっていてき	definitive, absolute	決定的	na-adj.
むいしき	unconsciousness	無意識	n.
ゆうじんいたる	friends	友人達	n.
さいむもの	debtor	債務者	n.
よんかげつ	four months	四ヶ月	n.
しまつ(する)	disposal, circumstances	始末(する)	n.
あいま	interval, pause, spare moment 合間にこの仕事をやっておいてください。 —	合間	n.
ふくさよう	side effect	副作用	n.
せいぶん	ingredient, constituent, component	成分	n.
はつ	first	初	n.
ドライバー	driver	ドライバー	n.
じゅうたい(する)	traffic jam, delay	渋滞(する)	n.
えんりょ(する)	reserve	遠慮(する)	n.
しるし	mark, tick, check	印	n.
こんしゅう	this week	今週	n.
なぐさめる	console, comfort	慰める	v.
いっぽうてき	unilateral, onesided	一方的	na-adj.
かいせつ(する)	establishment	開設(する)	n.
アニメ	animation	アニメ	n.
さっさと	quickly	さっさと	adv.
せいりょく	power, influence, strength	勢力	n.
うめ	plum, Japanese apricot	梅	n.
れい	spirit, soul	霊	n.
よかん(する)	presentiment, foreboding, hunch	予感(する)	n.
がくしゃ	scholar	学者	n.
くるまいす	wheelchair	車椅子	n.
げつようび	Monday	月曜日	n.
ぺきん	Beijing	北京	n.
ろんり	logic	論理	n.
みこむ	expect, trust	見込む	v.
よんじゅうぶん	forty minutes	四十分	n.
ほどう	sidewalk, pavement	歩道	n.
にせん	. two thousand	二千	num
せいじてき	political	政治的	na-adj.
きゅうとし	nine years	九年	n.
かく	lack; chip	欠く	v.
ほうこくしょ	report	報告書	n.
ちかづける	bring close	近づける	v.
壼	pot, vase	壼	n.
こうざ	course, lecture	講座	n.
レシピ	recipe	レシピ	n.
ぎょうれつ(する)	procession, line, parade	行列(する)	n.
けいじょう(する)	appropriation	計上(する)	n.
じゅしん(する)	(medical) consultation	受診(する)	n.
しき(する)	direction, command	指揮(する)	n.
ほかん(する)	keeping, storage	保管(する)	n.
パートナー	partner	パートナー	n.
ほっそく(する)	start	発足(する)	n.
かじ	fire	火事	n.
ちゅうせい	Middle Ages, medieval	中世	n.
こうさつ(する)	consideration, examination	考察(する)	n.
いわい	celebration	祝い	n.
もうける	profit, earn, gain	儲ける	v.
ゆびさす	point	指差す	v.
にんか(する)	permission, approval	認可(する)	n.
おとる	be inferior	劣る	v.
ぶつける	hit; throw	ぶつける	v.
じょうやく	treaty, agreement	条約	n.
ぞう	figure, statue	像	n.
まっち(する)	,	マッチ(する)	n.
にせんえん	two thousand yen	二千円	n.
キャベツ	cabbage	キャベツ	n.
デザート	dessert	デザート	n.
ぎいん	member of Diet/Congress/ Parliament	議員	n.
しんぎ(する)	discussion, deliberation	審議(する)	n.
すずしい	cool	涼しい	i-adj.
せい	sex, gender	性	n.
しぐさ	behavior, gesture	仕草	n.
ますたー(する)	,	マスター(する)	n.
あわ	bubble, foam	泡	n.
ねんぱい	elderly person	年配	n.
まんがいち	just in case	万が一	adv.
あげく	in the end, finally	挙げ句	n.
つなげる	connect, tie	つなげる	v.
でし	pupil, disciple	弟子	n.
ぶんかい(する)	analysis	分解(する)	n.
いちはつ	shot, punch	一発	n.
ささやく	whisper	ささやく	v.
ちょうたつ(する)	supply, procurement	調達(する)	n.
にじゅうろく	. twenty-six	二十六	num
せいふく	uniform	制服	n.
オーブン	oven	オーブン	n.
パンフレット	brochure	パンフレット	n.
しょう	prize, award	賞	n.
はくじん	Caucasian, ‘white person’ 彼女は白人の男性と結婚した。 — She married a white ma	白人	n.
いささか	a little, slightly, rather	いささか	adv.
せんとう	head, lead	先頭	n.
まっくろ	black	真っ黒	na-adj.
すっと	quickly; quietly; straight	すっと	adv.
こうきょう	public, common	公共	n.
きぞく	noble, nobility, aristocracy	貴族	n.
ちる	fall, drop	散る	v.
ろじ	alley, lane	路地	n.
りょくしょく	green	緑色	n.
にげだす	run away	逃げ出す	v.
はんえい(する)	prosperity	繁栄(する)	n.
じゅう	gun	銃	n.
こんごとも	from now on, in the future	今後とも	adv.
かつぐ	carry, shoulder	担ぐ	v.
まく	scatter, water	撒く	v.
ごうりてき	reasonable,  rational	合理的	na-adj.
はて	the end	果て	n.
きり	fog	霧	n.
しゅさい(する)	promotion, organizing	主催(する)	n.
せんたくし	choices, alternatives	選択肢	n.
みっせつ	close	密接	na-adj.
にこむ	stew	煮込む	v.
ひょう	front; outside, surface	表	n.
さっかく(する)	illusion, delusion, trick	錯覚(する)	n.
のりもの	vehicle; (amusement park) ride	乗り物	n.
スパゲッティー	spaghetti	スパゲッティー	n.
りんせつ(する)	adjacent, adjoin, next to	隣接(する)	n.
にせんさんとし	2003 (year)	二千三年	n.
ごまかす	cheat, deceive	ごまかす	v.
テクニック	technique	テクニック	n.
ステップ	step	ステップ	n.
にんむ	duty, task, mission, role	任務	n.
おがわ	stream	小川	n.
ロープ	rope	ロープ	n.
とうたつ(する)	arrival	到達(する)	n.
イエス	yes; Jesus (Christ)  私はイエスと答えた。 — I said yes.	イエス	n.
しゃんはい	Shanghai	上海	n.
けんちょ	conspicuous, remarkable	顕著	na-adj.
うまれそだつ	be born and raised	生まれ育つ	v.
ファッション	fashion	ファッション	n.
きんちょうかん	tension	緊張感	n.
ようき	container, vessel	容器	n.
さぽーと(する)	support	サポート(する)	n.
ころぶ	fall, slip	転ぶ	v.
まし	better	まし	na-adj.
とうほく	Northeast, Tohoku region	東北	n.
なくす	lose	亡くす	v.
サラダ	salad	サラダ	n.
ちゅういてん	important point	注意点	n.
DNA	DNA, deoxyribonucleic acid	DNA	n.
べいぐん	US armed forces	米軍	n.
デメリット	disadvantage	デメリット	n.
こくどう	national highway	国道	n.
しんとう(する)	soaking, penetration	浸透(する)	n.
あいず(する)	signal, sign	合図(する)	n.
フェリー	ferry	フェリー	n.
ぼうえき	trade, commerce	貿易	n.
しょうめい	lighting	照明	n.
しょうたい(する)	invitation	招待(する)	n.
ねんねん	year after year	年々	adv.
じゅういちとし	eleven years	十一年	n.
ぶし	warrior, samurai	武士	n.
そりゃ	that is  そりゃいい考えだね。 — That’s a good idea.	そりゃ	pron.
たいこう(する)	competition, rivalry	対抗(する)	n.
ものいたる	people	者達	n.
けいさつかん	police officer	警察官	n.
まるめる	curl up, wad up	丸める	v.
さいしん	newest, latest	最新	n.
たしゃ	another person, others	他者	n.
そうにゅう(する)	insertion	挿入(する)	n.
かしこい	wise, clever	賢い	i-adj.
くさる	rot, decay, go off	腐る	v.
こだわり	concern, obsession	こだわり	n.
ひさん	miserable	悲惨	na-adj.
キリスト	Christ	キリスト	n.
からしさ	pain	辛さ	n.
にさんひ	two or three days	二三日	n.
こうえん	lecture, talk	講演	n.
あやまる	make a mistake, be wrong	誤る	v.
じんけん	human rights	人権	n.
りょうがわ	both sides	両側	n.
もち	rice cake	餅	n.
かまくら	Kamakura (place name)	鎌倉	n.
うんどうかい	sports meeting	運動会	n.
しゅう	state	州	n.
ぶんり(する)	separation, detachment	分離(する)	n.
にちじょうてき	routine	日常的	na-adj.
けいじばん	bulletin board, noticeboard	掲示板	n.
じゅうたくち	residential area	住宅地	n.
かめ	turtle, tortoise	亀	n.
よんじゅうだい	forties	四十代	n.
メロディー	melody	メロディー	n.
みんしゅう	people, public	民衆	n.
きちじょうじ	Kichijoji (place name)	吉祥寺	n.
つらぬく	persist, stick to; pierce 息子は自分の考えを貫いた。 — My son stuck to his opinio	貫く	v.
にいがた	Niigata (place name)	新潟	n.
かしょ	place, point, part	箇所	n.
せいかい(する)	correct answer	正解(する)	n.
さとる	realize	悟る	v.
こする	rub, strike; lose	擦る	v.
たいいくかん	gym	体育館	n.
さいかい(する)	reunion	再会(する)	n.
ぎしき	ceremony, ritual	儀式	n.
いやあ	Well, sorry	いやあ	interj.
てんぽ	store, shop	店舗	n.
とらわれる	be arrested, be captured, stick to	捕らわれる	v.
にっぽんいち	most ... in Japan	日本一	n.
トンネル	tunnel	トンネル	n.
いちとし	one year old	一歳	n.
あつさ	heat	暑さ	n.
ビタミン	vitamin	ビタミン	n.
おめでとう	congratulations	おめでとう	interj.
ようと	use	用途	n.
しんがく(する)	going on to the next level of education	進学(する)	n.
タイヤ	tire	タイヤ	n.
ちょうせん	Korea	朝鮮	n.
しゃみせん	shamisen	三味線	n.
ほけんかいしゃ	insurance company  彼は保険会社にその事故を報告した。 — He reported the accident to his insurance company.	保険会社	n.
うつす	copy, trace	写す	v.
チョコレート	chocolate	チョコレート	n.
はしりまわる	run around	走り回る	v.
ゆうりょく	powerful, strong, important	有力	na-adj.
しかけ	device, system	仕掛け	n.
ポスター	poster	ポスター	n.
すぎ	Japanese cedar	杉	n.
かわいらしい	lovely	可愛らしい	i-adj.
ちょうこく	sculpture, carving	彫刻	n.
ねむり	sleep	眠り	n.
みこみ	hope, chance, expectation	見込み	n.
さわやか	fresh, refreshing	爽やか	na-adj.
しゅうにん(する)	assumption	就任(する)	n.
せんたん	tip, point, forefront	先端	n.
そうち(する)	device, equipment	装置(する)	n.
でんせつ	legend, tradition	伝説	n.
いまごろ	this time	今頃	n.
がくぶ	faculty, department	学部	n.
すいえい	swimming	水泳	n.
はめ	plight, predicament	羽目	n.
じょうきょう(する)	coming/going to Tokyo	上京(する)	n.
ビザ	visa	ビザ	n.
